Original Sentence,Processed Sentence
"a black man operates a crude machine pumping out a white powder in an equally crude room , he wears a blue cap , dress shirt , and smokes a cigarette .",And a black man operated a crude machine that pumps out white powder.
"there is an african american man sitting down smoking a cigarette , while grinding grain in a piece of machinery .",A sitting down American man smoking cigarettes while grinding grains.
an african american man with a cigarette hanging from his mouth sits behind some kind of machinery .,A man from Africa sitting in his own mouth with a cigarette hanging from his mouth is sitting in the American seat.
an old african american man with a cigarette in his mouth sitting with a machine in front of him .,An old African American man sitting with a cigarette and a smile.
a man operating a machine that minces materials .,skip_because_no_change
"a man holds up a small sticker that says "" i am a photographer , not a terrorist "" while standing among a large group of protesters .",skip_because_no_change
"a man is holding a souvenir that says "" i 'm a photographer not a terrorist "" at what appears to be a rally somewhere in europe .",The man held a souvenir that said he was a photographer not a terrorist.
"a man is holding up a card that says "" i 'm a photographer not a terrorist "" overlooking a crowd of people .",skip_because_no_change
"a man holds up a tiny sign reading "" i 'm a photographer not a terrorist . """,skip_because_no_change
a man stands close to a crowd of people holding a card .,The man holding the card stood.
"beautiful young dancer performing dressed in white and silver performs an acrobatic , ballet , hula-hoop , dance routine while <number> female observers look on .",skip_because_no_change
a dancer performs some gymnastics with a hula hoop before a panel of women .,Dancers perform some gymnastics with hula hoop.
"a dancer performing with a hula hoop , with judges in the background .",A dancer with a hula hoop and a judge.
five ballerinas dancing and jumping in the air at the same time .,5 dances and jumps by a ballerina at the same time.
a gymnast is performing in front of four judges .,Gymnasts perform.
a girl competing in gymnastics performs a gutsy routine as she impresses the audience .,skip_because_no_change
a young gymnast in white poses while a red ball is suspended beside her .,Young gymnast in white posing while suspended by a red ball.
"caucasian female , near a red ball extending right leg in the air .",skip_because_no_change
a young woman wearing a beautiful white ensemble looks flustered .,skip_because_no_change
a gymnast in a white leotard is about to catch a red ball .,skip_because_no_change
a group of people standing in a large white room looking at large pieces of stone .,A group of people stood looking for a large piece of stone.
a group of people are in a sculpture gallery studying a large block object .,A group of people studied a large block of objects.
a group of men and women who are looking at art in a art show .,A group of men and women looking for an art.
a number of people stand around talking at an art gallery .,A number of people stood to talk.
a group of professionals are examining art exhibits .,skip_because_no_change
two people are standing in front of a hedley museum sign looking at something in front of them .,Two people stood looking for something.
"a couple people at a museum looking in the gift shop , potentially going to buy something .",skip_because_no_change
two people are looking at items that are for sale at the hedley museum .,Two people are looking for a sale item.
two people outside near a road and signs that point to a museum .,Two people and a sign pointing to the museum.
two people looking at a structure outside of a tea room .,Two people looking at the structure.
an asian lady wearing a blue long-sleeve shirt cleaning chicken in a blue tub .,A Asian lady cleaning chickens in a long sleeve blue shirt
a woman squats down to reach a bucket full of dead and skinned chickens .,skip_because_no_change
an asian woman in a blue shirt and gray sweatpants is holding a chicken .,skip_because_no_change
an asian woman holding a plucked chicken .,skip_because_no_change
